house,money,location,house_info,house_type,part
金鹏大厦 4室2厅 9000元 复式,9000,鼓楼华侨路,-152㎡南4室2厅2卫,all,鼓楼
汉口路 3室1厅 1750元,1750,鼓楼宁海路,-79㎡南3室1厅1卫,all,鼓楼
宝塔桥东街16号大院 4室1厅 4500元,4500,鼓楼金陵小区,-51㎡南 北4室1厅2卫,all,鼓楼
整租 · 恒盛金陵湾 居家精装修 采光充足 树人陪读 拎包入住,6000,鼓楼定淮门大街,-103㎡南2室2厅1卫,all,鼓楼
星河翠庭 2室2厅 3800元,3800,鼓楼五塘广场,-93㎡南 北2室2厅1卫,all,鼓楼
东宝商厦 2室2厅 4500元,4500,鼓楼凤凰西街,-91㎡东2室2厅1卫,all,鼓楼
察哈尔路十二新村 2室1厅 3500元,3500,鼓楼挹江门,-60㎡南2室1厅1卫,all,鼓楼
世茂外滩新城 3室2厅 7500元,7500,鼓楼热河南路,-135㎡南 北3室2厅2卫,all,鼓楼
中海凤凰熙岸玺荟 1室1厅 4800元,4800,鼓楼凤凰西街,-57㎡南1室1厅1卫,all,鼓楼
陶谷新村 3室1厅 4700元,4700,鼓楼宁海路,-98㎡南 西3室1厅1卫,all,鼓楼
石头城9号 2室1厅 3200元,3200,鼓楼龙江,-71㎡南 北2室1厅1卫,all,鼓楼
中央北路110号 3室1厅 3200元,3200,鼓楼五塘广场,-88㎡南 北3室1厅1卫,all,鼓楼
整租 · 莫愁湖地铁站 环宇城 中海精装两房,8000,鼓楼凤凰西街,-101㎡南2室2厅1卫,all,鼓楼
长江之家 3室1厅 5900元,5900,鼓楼龙江,-101㎡南3室1厅1卫,all,鼓楼
证大大拇指广场 3室2厅 4800元,4800,鼓楼建宁路,-92㎡东3室2厅1卫,all,鼓楼
金陵村 2室1厅 2200元,2200,鼓楼金陵小区,-68㎡南 北2室1厅1卫,all,鼓楼
育才公寓 2室1厅 3800元,3800,鼓楼凤凰西街,-67㎡南2室1厅1卫,all,鼓楼
复地新都国际 5室1厅 6500元,6500,鼓楼小市,-140㎡南 北5室1厅2卫,all,鼓楼
辰龙雅苑 1室1厅 2800元,2800,鼓楼草场门大街,-39㎡东1室1厅1卫,all,鼓楼
聚福园二期 3室2厅 6200元,6200,鼓楼龙江,-114㎡南 北3室2厅2卫,all,鼓楼
萨家湾 2室1厅 3000元,3000,鼓楼福建路,-52㎡南2室1厅1卫,all,鼓楼
整租 · 青云巷 1室1厅,3000,鼓楼湖南路,-25㎡南1室1厅1卫,all,鼓楼
漫领域 水关桥店 经济双人床房 开间,1600-1800,,25-30㎡南 北1室0厅1卫,all,鼓楼
圣淘沙花城 4室2厅 7800元,7800,鼓楼挹江门,-171㎡南4室2厅2卫,all,鼓楼
天正桃源 3室2厅 12000元,12000,鼓楼热河南路,-157㎡南 北3室2厅2卫,all,鼓楼
峨嵋岭19号 2室2厅 4500元,4500,鼓楼华侨路,-65㎡南 北2室2厅1卫,all,鼓楼
世联红璞公寓 热河南路店 仙踪系一室一厅,2100,,20㎡东1室1厅1卫,all,鼓楼
燕江园小区 2室1厅 2300元,2300,鼓楼金陵小区,-51㎡南 北2室1厅1卫,all,鼓楼
未来域白领公寓 中山北路店 地中海B,1800-2000,,25㎡北1室1厅1卫,all,鼓楼
宁工新寓一村 3室2厅 5300元,5300,鼓楼草场门大街,-109㎡南 北3室2厅1卫,all,鼓楼
金鹏大厦 4室2厅 9000元 复式,9000,鼓楼华侨路,-152㎡南4室2厅2卫,all,鼓楼
汉口路 3室1厅 1750元,1750,鼓楼宁海路,-79㎡南3室1厅1卫,all,鼓楼
宝塔桥东街16号大院 4室1厅 4500元,4500,鼓楼金陵小区,-51㎡南 北4室1厅2卫,all,鼓楼
整租 · 恒盛金陵湾 居家精装修 采光充足 树人陪读 拎包入住,6000,鼓楼定淮门大街,-103㎡南2室2厅1卫,all,鼓楼
星河翠庭 2室2厅 3800元,3800,鼓楼五塘广场,-93㎡南 北2室2厅1卫,all,鼓楼
东宝商厦 2室2厅 4500元,4500,鼓楼凤凰西街,-91㎡东2室2厅1卫,all,鼓楼
察哈尔路十二新村 2室1厅 3500元,3500,鼓楼挹江门,-60㎡南2室1厅1卫,all,鼓楼
世茂外滩新城 3室2厅 7500元,7500,鼓楼热河南路,-135㎡南 北3室2厅2卫,all,鼓楼
中海凤凰熙岸玺荟 1室1厅 4800元,4800,鼓楼凤凰西街,-57㎡南1室1厅1卫,all,鼓楼
陶谷新村 3室1厅 4700元,4700,鼓楼宁海路,-98㎡南 西3室1厅1卫,all,鼓楼
石头城9号 2室1厅 3200元,3200,鼓楼龙江,-71㎡南 北2室1厅1卫,all,鼓楼
中央北路110号 3室1厅 3200元,3200,鼓楼五塘广场,-88㎡南 北3室1厅1卫,all,鼓楼
整租 · 莫愁湖地铁站 环宇城 中海精装两房,8000,鼓楼凤凰西街,-101㎡南2室2厅1卫,all,鼓楼
长江之家 3室1厅 5900元,5900,鼓楼龙江,-101㎡南3室1厅1卫,all,鼓楼
证大大拇指广场 3室2厅 4800元,4800,鼓楼建宁路,-92㎡东3室2厅1卫,all,鼓楼
金陵村 2室1厅 2200元,2200,鼓楼金陵小区,-68㎡南 北2室1厅1卫,all,鼓楼
育才公寓 2室1厅 3800元,3800,鼓楼凤凰西街,-67㎡南2室1厅1卫,all,鼓楼
复地新都国际 5室1厅 6500元,6500,鼓楼小市,-140㎡南 北5室1厅2卫,all,鼓楼
辰龙雅苑 1室1厅 2800元,2800,鼓楼草场门大街,-39㎡东1室1厅1卫,all,鼓楼
聚福园二期 3室2厅 6200元,6200,鼓楼龙江,-114㎡南 北3室2厅2卫,all,鼓楼
萨家湾 2室1厅 3000元,3000,鼓楼福建路,-52㎡南2室1厅1卫,all,鼓楼
整租 · 青云巷 1室1厅,3000,鼓楼湖南路,-25㎡南1室1厅1卫,all,鼓楼
漫领域 水关桥店 经济双人床房 开间,1600-1800,,25-30㎡南 北1室0厅1卫,all,鼓楼
圣淘沙花城 4室2厅 7800元,7800,鼓楼挹江门,-171㎡南4室2厅2卫,all,鼓楼
天正桃源 3室2厅 12000元,12000,鼓楼热河南路,-157㎡南 北3室2厅2卫,all,鼓楼
峨嵋岭19号 2室2厅 4500元,4500,鼓楼华侨路,-65㎡南 北2室2厅1卫,all,鼓楼
世联红璞公寓 热河南路店 仙踪系一室一厅,2100,,20㎡东1室1厅1卫,all,鼓楼
燕江园小区 2室1厅 2300元,2300,鼓楼金陵小区,-51㎡南 北2室1厅1卫,all,鼓楼
未来域白领公寓 中山北路店 地中海B,1800-2000,,25㎡北1室1厅1卫,all,鼓楼
宁工新寓一村 3室2厅 5300元,5300,鼓楼草场门大街,-109㎡南 北3室2厅1卫,all,鼓楼
未来域白领公寓 中山北路店 地中海A,2100-2300,,30㎡南1室1厅1卫,all,鼓楼
恒盛嘉园 8室1厅 4800元,4800,鼓楼小市,-95㎡南 北8室1厅2卫,all,鼓楼
西康新村 2室1厅 3500元,3500,鼓楼水佐岗,-55㎡南 北2室1厅1卫,all,鼓楼
黑龙江路12巷 2室1厅 3000元,3000,鼓楼许府巷,-68㎡南 北2室1厅1卫,all,鼓楼
迎江园 2室1厅 2800元,2800,鼓楼定淮门大街,-50㎡南 北2室1厅1卫,all,鼓楼
花样年喜年中心 4房间2卫 4000元,4000,鼓楼小市,-65㎡南2室2厅2卫,all,鼓楼
整租 · 花样年喜年中心 4房间2卫 5000元,5000,鼓楼小市,-140㎡北3室1厅2卫,all,鼓楼
天玺国际广场 3室2厅 7000元,7000,鼓楼凤凰西街,-110㎡南 北3室2厅1卫,all,鼓楼
中海凤凰熙岸二期 3室1厅 11000元,11000,鼓楼凤凰西街,-131㎡南3室1厅2卫,all,鼓楼
晶元雅居 2室2厅 4800元,4800,鼓楼龙江,-100㎡南 北2室2厅1卫,all,鼓楼
三条巷 2室1厅 5500元,5500,鼓楼湖南路,-68㎡南 北2室1厅1卫,all,鼓楼
石头城新村 2室1厅 3000元,3000,鼓楼龙江,-50㎡南2室1厅1卫,all,鼓楼
燕江园小区 2室1厅 2000元,2000,鼓楼金陵小区,-51㎡南2室1厅1卫,all,鼓楼
聚福园二期 4室2厅 7500元,7500,鼓楼龙江,-180㎡南4室2厅2卫,all,鼓楼
世茂滨江新城 4室2厅 13500元,13500,鼓楼热河南路,-268㎡南4室2厅3卫,all,鼓楼
古平岗22号 3室1厅 3500元,3500,鼓楼挹江门,-68㎡南3室1厅1卫,all,鼓楼
芦席营70号 2室1厅 3500元,3500,鼓楼许府巷,-55㎡南 北2室1厅1卫,all,鼓楼
阳光广场 2室1厅 4500元,4500,鼓楼龙江,-99㎡南 北2室1厅1卫,all,鼓楼
整租 · 裴家桥小区 1室1厅,6000,鼓楼湖南路,-67㎡南1室1厅1卫,all,鼓楼
港宁园 2室2厅 4500元,4500,鼓楼福建路,-80㎡南2室2厅1卫,all,鼓楼
清江公寓 4室2厅 5400元,5400,鼓楼凤凰西街,-100㎡东南4室2厅2卫,all,鼓楼
古平岗18号 2室0厅 2650元,2650,鼓楼挹江门,-40㎡南2室0厅1卫,all,鼓楼
燕康园 3室2厅 3000元,3000,鼓楼金陵小区,-130㎡南3室2厅2卫,all,鼓楼
金陵小区 居家装修 家具家电齐全 中间楼层 拎包入住,2400,鼓楼金陵小区,-73㎡南 北2室1厅1卫,all,鼓楼
老菜市 2室1厅 3000元,3000,鼓楼湖南路,-58㎡南 北2室1厅1卫,all,鼓楼
金达花园 2室2厅 2800元,2800,鼓楼建宁路,-78㎡南2室2厅1卫,all,鼓楼
汉北街8号 2室1厅 3700元,3700,鼓楼汉中门大街,-54㎡南 北2室1厅1卫,all,鼓楼
金陵新三村 2室1厅 1600元,1600,鼓楼金陵小区,-59㎡西2室1厅1卫,all,鼓楼
清江花苑绿茵园 4室2厅 7300元,7300,鼓楼定淮门大街,-169㎡南 北4室2厅3卫,all,鼓楼
亿立方公寓 广东路店 落地窗阳光房 开间,1600,,20㎡南1室0厅1卫,all,鼓楼
定淮门大街 2室1厅 3200元,3200,鼓楼定淮门大街,-66㎡南 北2室1厅1卫,all,鼓楼
自由寓 金川店 LOFT精装二室一厅 二居+,2600,,55㎡南2室1厅1卫,all,鼓楼
青汇公寓 青汇公寓 C户型 开间,1600,,23-24㎡东 南1室0厅1卫,all,鼓楼
新河二村 2室1厅 2800元,2800,鼓楼定淮门大街,-49㎡南 北2室1厅1卫,all,鼓楼
银城花园北片 2室1厅 3200元,3200,鼓楼龙江,-50㎡南 北2室1厅1卫,all,鼓楼
中海凤凰熙岸一期 5室1厅 13500元,13500,鼓楼凤凰西街,-172㎡南 北5室1厅2卫,all,鼓楼
整租 · 清凉山庄 4室2厅 3500元,3500,鼓楼华侨路,-68㎡南4室2厅2卫,all,鼓楼
整租 · 青云巷 1室1厅,3800,鼓楼湖南路,-32㎡南1室1厅1卫,all,鼓楼
整租 · 青云巷 1室1厅,3900,鼓楼湖南路,-32㎡南1室1厅1卫,all,鼓楼
整租 · 青云巷 1室1厅,3000,鼓楼湖南路,-25㎡南1室1厅1卫,all,鼓楼
整租 · 裴家桥小区 1室1厅,6000,鼓楼湖南路,-67㎡南1室1厅1卫,all,鼓楼
金陵新三村 2室1厅 2000元,2000,鼓楼金陵小区,-50㎡南 北2室1厅1卫,all,鼓楼
整租 · 裴家桥小区 1室1厅,6000,鼓楼湖南路,-67㎡南1室1厅1卫,all,鼓楼
颂德里 2室1厅 3800元,3800,鼓楼三牌楼,-40㎡南2室1厅1卫,all,鼓楼
未来域白领公寓 中山北路店 地中海风情B,1800-2000,,22-25㎡北1室1厅1卫,all,鼓楼
世茂滨江新城 4室2厅 17000元,17000,鼓楼热河南路,-278㎡南 北4室2厅3卫,all,鼓楼
微享家 金域中央店 浮生印象 开间,2370-2770,,30㎡南 西南 西 西北1室0厅1卫,all,鼓楼
微享家 金域中央店 浮光掠影 开间,2100-2170,,25㎡西南1室0厅1卫,all,鼓楼
卢龙山庄 2室2厅 4200元,4200,鼓楼建宁路,-133㎡南2室2厅2卫,all,鼓楼
花开四季 4室2厅 10000元,10000,鼓楼龙江,-150㎡南 北4室2厅2卫,all,鼓楼
北阴阳营 2室1厅 3300元,3300,鼓楼湖南路,-60㎡南 北2室1厅1卫,all,鼓楼
临江新寓 2室1厅 3800元,3800,鼓楼凤凰西街,-66㎡南 北2室1厅1卫,all,鼓楼
瑜泽 建宁路 温馨单人间 开间,1500-1700,,15-17㎡南 北1室0厅1卫,all,鼓楼
青汇公寓 青汇公寓 B户型 开间,1600,,23㎡东 南1室0厅1卫,all,鼓楼
漫领域 水关桥店 经济小开间 开间,1450,,28㎡北1室0厅1卫,all,鼓楼
新斐鸿酒店 云南北路店 D房型 开间,2200,,28㎡东 西1室0厅1卫,all,鼓楼
东南青年汇 玉桥店 B户型套间 二居+,5000-5400,,63㎡南2室1厅1卫,all,鼓楼
清凉山庄 2室1厅 4000元,4000,鼓楼华侨路,-70㎡南2室1厅1卫,all,鼓楼
安怀新村 3室1厅 2900元,2900,鼓楼小市,-65㎡南3室1厅1卫,all,鼓楼
黑龙江路八巷 2室1厅 2600元,2600,鼓楼许府巷,-52㎡南 北2室1厅1卫,all,鼓楼
朗诗寓 建宁路店 MUJI风,2550-2850,,30㎡北1室1厅1卫,all,鼓楼
朗诗寓 建宁路二店 北欧风,2750,,30㎡南1室1厅1卫,all,鼓楼
摩尔公寓 摩尔公寓 A户型 开间,2800,,35㎡1室0厅1卫,all,鼓楼
恒基金满庭 6室2厅 8000元,8000,鼓楼小市,-258㎡南 北6室2厅3卫,all,鼓楼
宝象花园 3室3厅 4000元,4000,鼓楼金陵小区,-130㎡南 北3室3厅2卫,all,鼓楼
中海凤凰熙岸二期 4室1厅 12000元,12000,鼓楼凤凰西街,-146㎡南 北4室1厅2卫,all,鼓楼
腾飞园 2室2厅 3600元,3600,鼓楼龙江,-61㎡南2室2厅1卫,all,鼓楼
凤凰新村 2室1厅 3800元,3800,鼓楼凤凰西街,-54㎡南 北2室1厅1卫,all,鼓楼
天水滨江花园西苑 3室2厅 7500元,7500,鼓楼凤凰西街,-108㎡南 北3室2厅2卫,all,鼓楼
新城市假日 3室2厅 6500元,6500,鼓楼龙江,-135㎡南 北3室2厅2卫,all,鼓楼
新城市广场摩尔特区 2室1厅 4900元,4900,鼓楼龙江,-53㎡西南2室1厅1卫,all,鼓楼
瑜泽 建宁路 时尚单人间 开间,1500,,15㎡南1室0厅1卫,all,鼓楼
金陵世纪花园 2室2厅 4500元,4500,鼓楼凤凰西街,-82㎡南2室2厅1卫,all,鼓楼
凤凰街 1室1厅 2800元,2800,鼓楼汉中门大街,-40㎡南1室1厅1卫,all,鼓楼
無砎公寓 凤凰西街店 B型 开间,2500,,25㎡南1室0厅1卫,all,鼓楼
盐西街小区 2室2厅 3500元,3500,鼓楼建宁路,-75㎡南 北2室2厅1卫,all,鼓楼
V+SPACE国际青创社区 幕府西路社区 C户型 二居+,2330-2760,,14-40㎡东南 西南 西北2室1厅1卫,all,鼓楼
V+SPACE国际青创社区 幕府西路社区 D户型,2126-2490,,19-30㎡东南 西1室1厅1卫,all,鼓楼
青云巷 2室1厅 4500元,4500,鼓楼湖南路,-65㎡南 北2室1厅1卫,all,鼓楼
自由寓 金川店 精装复式大两室一厅 二居+,2500,,50㎡南2室1厅1卫,all,鼓楼
邮政世纪花园 6室2厅 6600元 跃层,6600,鼓楼凤凰西街,-154㎡南 北6室2厅3卫,all,鼓楼
青汇公寓 青汇公寓 D户型 开间,2050,,25㎡东 东南 南 西南 西 西北 北 东北1室0厅1卫,all,鼓楼
白领易居 中山北路店 阳光江景大床房,2000,,26㎡南1室1厅1卫,all,鼓楼
漫果公寓 中山北路店 有窗户单人房 开间,1600,,15㎡西北1室0厅1卫,all,鼓楼
金达花园 2室2厅 3600元,3600,鼓楼建宁路,-78㎡南2室2厅1卫,all,鼓楼
长阳花园 3室2厅 6500元,6500,鼓楼龙江,-118㎡南 北3室2厅2卫,all,鼓楼
峨嵋岭19号 2室1厅 3500元,3500,鼓楼华侨路,-49㎡南2室1厅1卫,all,鼓楼
亿立方公寓 广东路店 复式阳光房 开间,1800,,20㎡南1室0厅1卫,all,鼓楼
民佳园小区 4室2厅 4200元 跃层,4200,鼓楼定淮门大街,-86㎡南 北4室2厅2卫,all,鼓楼
亿立方公寓 广东路店 复式标准房,1800,,22㎡南1室1厅1卫,all,鼓楼
世联红璞公寓 热河南路店 焦糖系一室一厅,2450-2600,,25㎡东1室1厅1卫,all,鼓楼
凤凰西街114号 2室1厅 3300元,3300,鼓楼凤凰西街,-64㎡南 北2室1厅1卫,all,鼓楼
未来域白领公寓 中山北路店 地中海风情A 开间,2100-2300,,30㎡南1室0厅1卫,all,鼓楼
和会街 2室2厅 4100元,4100,鼓楼三牌楼,-87㎡南2室2厅1卫,all,鼓楼
整租 · 苏宁雅瑰园 4室2厅 8000元,8000,鼓楼龙江,-152㎡南4室2厅2卫,all,鼓楼
漫领域 大桥店 精致大开间 开间,2000-2200,,34-37㎡西 北1室0厅1卫,all,鼓楼
漫领域 大桥店 舒适豪华型 开间,2600-2900,,44-49㎡南1室0厅1卫,all,鼓楼
金陵大公馆 4室2厅 10000元,10000,鼓楼三牌楼,-174㎡南4室2厅2卫,all,鼓楼
中海凤凰熙岸二期 4室2厅 15000元,15000,鼓楼凤凰西街,-177㎡南4室2厅2卫,all,鼓楼
青汇公寓 青汇公寓 A户型 开间,1600,,22-25㎡南1室0厅1卫,all,鼓楼
中海凤凰熙岸三期 4室1厅 14000元,14000,鼓楼凤凰西街,-144㎡南 北4室1厅1卫,all,鼓楼
文云巷 3室2厅 6900元,6900,鼓楼湖南路,-126㎡南3室2厅2卫,all,鼓楼
新斐鸿酒店 狮子桥店 B,2100,,20㎡北1室1厅1卫,all,鼓楼
燕康园 2室1厅 2300元,2300,鼓楼金陵小区,-50㎡南 北2室1厅1卫,all,鼓楼
世茂外滩新城 2室1厅 3800元,3800,鼓楼热河南路,-86㎡南2室1厅1卫,all,鼓楼
万科泊寓 萨家湾社区店 LOFT 开间,2295-3000,,22-30㎡南 北1室0厅1卫,all,鼓楼
新门口14号 3室2厅 5800元,5800,鼓楼三牌楼,-100㎡东3室2厅1卫,all,鼓楼
漫领域 水关桥店 经济大开间 开间,1800-2600,,35-42㎡南1室0厅1卫,all,鼓楼
整租 · 龙江清凉门大街 长阳花园 精装修 拎包入住 河西商圈,5000,鼓楼龙江,-92㎡南 北2室1厅1卫,all,鼓楼
世茂滨江新城 3室2厅 8200元,8200,鼓楼热河南路,-173㎡南3室2厅2卫,all,鼓楼
V+SPACE国际青创社区 幕府西路社区 B户型,2860,,40㎡东南 南1室1厅1卫,all,鼓楼
瑜泽 建宁路 温馨大床房 开间,1600-1700,,16㎡东 南 北1室0厅1卫,all,鼓楼
恒盛金陵湾 3室1厅 6000元,6000,鼓楼定淮门大街,-102㎡南3室1厅1卫,all,鼓楼
